request,quantity,value,status,material_id,group_id,classification_id
4512192115,255,3422.83,QUOTATION,35672019-b6d1-42b4-b906-8819b248182e,5,4000
4511062208,105,2676.29,REJECTED,d5b6a98e-464a-4e85-ad1c-7fd6be7df835,2,3000
4531288444,980,1913.04,REJECTED,0c328cd6-def4-4097-8b5d-ef9b4362cfd3,4,4000
4582393692,563,5609.78,QUOTATION,408c4fe5-9066-4997-8f1c-ad8daae4b1f6,3,2000
4569387674,533,8335.22,APPROVED,51991c98-a328-457f-a862-0962b2d30ddc,5,2000
4543280505,528,9544.98,APPROVED,de541e55-b7b6-404a-8ce0-a6f1ea925750,4,3000
4507440317,114,1001.89,WAITING,110f8801-eea1-420d-98e6-dd439569747b,2,2000
4546054249,326,1483.82,APPROVED,a1ad3c2b-45ca-491c-8ef2-a64af7d19e43,3,4000
4530612814,673,3405.15,QUOTATION,ce1eeb99-74a8-4547-b95c-345102c07d21,5,1000
4581040128,844,9416.72,REJECTED,2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,1,1000
4516435134,724,973.78,WAITING,d5b6a98e-464a-4e85-ad1c-7fd6be7df835,2,1000
4519654628,247,4577.84,QUOTATION,975480d4-8c15-44ba-8c55-a9938bdaa2c4,2,1000
4592377040,605,1306.46,QUOTATION,aa51a37d-2867-459b-8885-b5c8b161616a,4,2000
4597592409,87,9580.25,WAITING,c40f8a37-9024-4fcd-80a6-7917301ba6bd,1,3000
4514498816,305,8855.45,REJECTED,a1a6e723-19c6-46fd-a584-917efe27f127,4,1000
4598259343,807,8731.36,QUOTATION,fffeaf8f-4b6b-4357-a309-89f4769c36da,4,3000
4573421732,258,2582.5,REJECTED,aa51a37d-2867-459b-8885-b5c8b161616a,2,3000
4508398601,28,823.97,QUOTATION,d4dbba0a-2b26-4233-9017-bb25b2e860f3,4,1000
4529575907,658,4109.21,WAITING,3f3292d8-3056-42da-9ec5-d080c252a223,3,1000
4542279137,104,6989.52,QUOTATION,a9da22e7-f42f-4428-9083-96395b7a7e9a,4,3000
4593557983,644,3293.09,WAITING,f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,4,2000
4598486718,175,7111.95,APPROVED,f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,5,3000
4501032100,256,5719.62,QUOTATION,4a5df305-6d85-4b5a-81ca-b2a776017f8f,5,4000
4540507028,293,7000.09,REJECTED,b0154cbb-c693-4062-88b9-a8acf4402b56,3,2000
4543645569,294,5390.16,QUOTATION,e069016d-d217-4fbc-b438-1e8790b731fb,4,2000
4576666510,474,3217.37,REJECTED,77b34563-244c-46da-b014-af1a9c7fa9e4,4,3000
4584778134,633,1708.93,REJECTED,d4dbba0a-2b26-4233-9017-bb25b2e860f3,3,1000
4556184546,274,1723.07,REJECTED,31ac60a6-1bc1-442c-ae10-4a420f770538,2,1000
4572407622,396,6238.03,QUOTATION,daffc87a-fdb5-424e-9155-782c6cd1b731,1,1000
4553692543,694,741.74,APPROVED,2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,1,3000
4501780123,172,8794.76,REJECTED,5c250769-58e7-4a67-92b8-05566aab2cd0,5,4000
4525607023,188,6939.77,QUOTATION,134244b2-90f7-4d62-8488-d71e29828266,3,1000
4536279943,485,43.68,QUOTATION,0c328cd6-def4-4097-8b5d-ef9b4362cfd3,3,1000
4545958045,562,1676.66,REJECTED,fffeaf8f-4b6b-4357-a309-89f4769c36da,4,4000
4536815613,663,8620.84,WAITING,68681084-7b12-4fd9-9704-7da3802cb451,5,3000
4597898583,23,2735.12,QUOTATION,a9da22e7-f42f-4428-9083-96395b7a7e9a,1,1000
4504199082,36,5645.08,APPROVED,12a301b9-4c71-4181-a853-d29be7b6bd18,5,1000
4527789055,262,7313.8,WAITING,05767575-2944-4457-9aa7-06e1dae2ae25,3,3000
4527524119,482,253.64,REJECTED,15ddc72a-7103-4a88-a951-49c5aa75affd,2,2000
4506732203,597,3958.32,WAITING,6cc3c3b9-23fa-4969-8791-af89dedc62c9,4,1000
4520766439,560,2263.3,APPROVED,fcc9df1e-2761-4b55-8f60-015b21066d78,5,3000
4560112178,558,8706.89,REJECTED,a1a6e723-19c6-46fd-a584-917efe27f127,1,2000
4597027025,105,8910.15,REJECTED,cf11fe2a-443a-44e9-96b0-e6b91ddfa87d,1,4000
4539162317,529,1019.6,APPROVED,cf11fe2a-443a-44e9-96b0-e6b91ddfa87d,2,4000
4568330740,115,5844.58,QUOTATION,3d3527a9-4ef5-45d5-83c2-4178789f9921,5,1000
4586358215,24,436.71,APPROVED,0c328cd6-def4-4097-8b5d-ef9b4362cfd3,5,3000
4551226596,845,2615.04,WAITING,5257f4f1-580e-4eb3-89f9-6cae458e4509,3,3000
4504773802,837,70.5,APPROVED,b0154cbb-c693-4062-88b9-a8acf4402b56,3,2000
4562732754,534,5645.87,REJECTED,611eefb3-ef38-4a2e-831a-15aff1dde8f8,4,4000
4567412048,942,1286.38,WAITING,12a301b9-4c71-4181-a853-d29be7b6bd18,2,3000
4553282070,879,5046.94,REJECTED,d4dbba0a-2b26-4233-9017-bb25b2e860f3,2,4000
4592647639,798,8502.8,REJECTED,ce1eeb99-74a8-4547-b95c-345102c07d21,1,1000
4572698358,735,2164.61,QUOTATION,84aadcf6-499b-4416-9a35-3e546eb39a5c,2,1000
4579893666,831,1340.43,APPROVED,dbce3e63-1a5c-4595-a1f9-d09c3d978567,5,4000
4594637570,355,54.86,QUOTATION,0e752cfe-75ff-427d-8214-57710b509b33,2,1000
4556418685,809,2770.23,APPROVED,f524f9ee-95cb-4e66-a6c1-b58f8296e7f3,1,1000
4562212731,380,4665.62,QUOTATION,2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,5,1000
4522554511,669,1788.13,WAITING,4a2d279e-2495-496f-80d9-bc5a45e3b6b4,2,2000
4517924667,831,4612.35,REJECTED,b0154cbb-c693-4062-88b9-a8acf4402b56,5,4000
4553503455,831,8406.63,QUOTATION,0f7e95f4-4fb9-4987-a1e1-5264880e721e,2,4000
4537715803,727,3298.59,QUOTATION,3d3527a9-4ef5-45d5-83c2-4178789f9921,1,3000
4540339572,949,7734.85,APPROVED,3f3292d8-3056-42da-9ec5-d080c252a223,5,3000
4561064827,608,9456.69,REJECTED,28d388a1-0e70-41d0-a8a1-abb9e3263b7b,1,4000
4557484566,399,992.21,REJECTED,ba5b8587-5d45-44ac-9e4e-16cb4b3afecc,4,3000
4527869472,813,3916.26,APPROVED,31ac60a6-1bc1-442c-ae10-4a420f770538,4,1000
4515197736,463,597.59,QUOTATION,9a109dc4-7be3-4aec-94bb-ede38f79ae14,3,2000
4594689457,558,3152.65,APPROVED,2c7b9d8a-6b92-4a21-a03e-024e434a203d,4,4000
4552214723,530,2901.35,APPROVED,791660af-f0db-4fbd-a3a4-86bd38182556,1,4000
4554224125,317,5850.78,REJECTED,fe53d2be-049c-47fa-871a-c4a8b1a10e40,3,4000
4533281327,291,7076.63,WAITING,2c6e3cb9-21cb-4de6-ae38-f117a3cbdfe2,3,2000
4535665609,714,1477.12,REJECTED,0a58bce2-1697-4c89-b568-ae280f33f982,3,2000
4508992456,736,5642.23,REJECTED,ce1eeb99-74a8-4547-b95c-345102c07d21,3,2000
4526372419,697,6019.29,QUOTATION,ba3d4978-80db-4a12-9f06-e4c698936184,2,1000
4577201966,655,1281.04,APPROVED,b577718c-a2a9-4f8a-a41c-7cac0d102aab,2,4000
4511490715,376,2776.26,WAITING,82ebf1b0-6982-4deb-ac51-c7a6d0a68c5d,2,4000
4589887445,779,3122.45,QUOTATION,da731710-48f7-4c02-8dd6-917ff4c62e3b,5,1000
4564183523,530,760.69,REJECTED,3f3292d8-3056-42da-9ec5-d080c252a223,2,4000
4596189695,719,5057.08,APPROVED,32149af9-a4f0-4e80-a73d-490a9faef06f,1,3000
4536152030,281,634.47,QUOTATION,e069016d-d217-4fbc-b438-1e8790b731fb,3,2000
4560056386,465,1731.27,WAITING,fcc9df1e-2761-4b55-8f60-015b21066d78,3,3000
4529933534,267,9732.33,QUOTATION,b0154cbb-c693-4062-88b9-a8acf4402b56,3,3000
4500693281,835,7928.48,QUOTATION,3ee51816-f540-45e6-8401-474c5df84e78,5,2000
4527438577,378,3200.3,REJECTED,3341d7ea-5bed-42e4-82c2-18d0adfbcdf1,2,3000
4561543583,328,8453.04,QUOTATION,eb8e5632-45d0-47e9-bcc0-ee76bf030643,2,1000
4583293649,462,9371.37,WAITING,0e752cfe-75ff-427d-8214-57710b509b33,2,1000
4516519366,150,1228.84,QUOTATION,fcc9df1e-2761-4b55-8f60-015b21066d78,4,4000
4573537356,594,4910.28,APPROVED,611eefb3-ef38-4a2e-831a-15aff1dde8f8,1,4000
4587521892,12,7923.62,WAITING,0e752cfe-75ff-427d-8214-57710b509b33,3,4000
4512844959,475,2222.68,REJECTED,3f3292d8-3056-42da-9ec5-d080c252a223,4,1000
4573346480,413,5940.31,APPROVED,28d388a1-0e70-41d0-a8a1-abb9e3263b7b,4,1000
4577043181,427,9975.27,WAITING,9567383e-1921-4683-803b-509faa2bc9d5,2,1000
4587626631,137,7128.82,QUOTATION,ba5b8587-5d45-44ac-9e4e-16cb4b3afecc,2,1000
4565111231,359,8176.03,QUOTATION,5257f4f1-580e-4eb3-89f9-6cae458e4509,2,4000
4534453633,932,126.69,APPROVED,8df0c99e-2745-44ae-94ee-ad79cb114fdb,5,1000
4549358231,718,8079.61,REJECTED,408c4fe5-9066-4997-8f1c-ad8daae4b1f6,3,1000
4512116139,462,2281.37,APPROVED,a4926703-442b-4179-808a-04de7d4e1015,2,4000
4533888991,566,7849.72,REJECTED,de541e55-b7b6-404a-8ce0-a6f1ea925750,4,4000
4591333002,765,859.86,QUOTATION,05767575-2944-4457-9aa7-06e1dae2ae25,4,1000
4538949234,209,2359.37,WAITING,d4dbba0a-2b26-4233-9017-bb25b2e860f3,4,3000
4529107627,131,4741.43,APPROVED,6cc3c3b9-23fa-4969-8791-af89dedc62c9,5,4000
4591319193,891,375.38,APPROVED,d4dbba0a-2b26-4233-9017-bb25b2e860f3,5,4000
4566188420,550,1129.65,REJECTED,b020551c-5fe7-45ea-881a-6fa78332362d,3,3000
4588957607,794,4869.35,REJECTED,3ee51816-f540-45e6-8401-474c5df84e78,5,1000
4523840185,707,529.41,WAITING,4a5df305-6d85-4b5a-81ca-b2a776017f8f,1,2000
4558298211,8,592.38,QUOTATION,384bae62-8ba8-4cac-b8ad-3df4e68bcafa,2,1000
4501534898,631,1193.51,WAITING,2ab670e8-49e3-4a95-9871-d937f77b5927,2,1000
4564257973,157,7239.96,WAITING,de541e55-b7b6-404a-8ce0-a6f1ea925750,2,3000
4553862193,737,2473.58,APPROVED,82ebf1b0-6982-4deb-ac51-c7a6d0a68c5d,4,3000
4572651940,58,5988.65,REJECTED,0a58bce2-1697-4c89-b568-ae280f33f982,1,1000
4556563970,21,2393.43,REJECTED,ce1eeb99-74a8-4547-b95c-345102c07d21,1,4000
4530209476,134,9998.91,WAITING,fffeaf8f-4b6b-4357-a309-89f4769c36da,1,4000
4554034239,843,6069.62,REJECTED,4029508a-afa4-4faf-b175-4bb65b8a4dbb,5,2000
4537948879,909,3703.06,REJECTED,b577718c-a2a9-4f8a-a41c-7cac0d102aab,4,4000
4546410371,623,3980.76,QUOTATION,76fa0c16-dc3a-4a9b-b914-de6a0097f3dc,4,1000
